month;candidate;total_raised;total_raised_quarter
November;Jill Stein;3421379;358457
November;Harris;1185477494;160055220
November;Trump;477103847;86774358
November;Kennedy;64705819;3056411
November;West;1374286;35914
November;Chase Oliver;424290;35524
October;Jill Stein;3062922;310647
October;Harris;1025424011;97211775
October;Trump;391920530;16227642
October;Kennedy;62846924;565836
October;West;1345338;18652
October;Chase Oliver;388767;39518
September;Jill Stein;2752275;869767
September;Harris;928210236;221800946
September;Trump;375692888;62679927
September;Kennedy;62281089;1909447
September;West;1323531;34986
September;Chase Oliver;349248;68075
August;Jill Stein;1882508;335031
August;Harris;706409291;189615034
August;Trump;313012961;44500313
August;Kennedy;60371641;2738360
August;West;1288545;30763
August;Chase Oliver;281174;64506
July;Jill Stein;1547477;310068
July;Harris;516794257;204488911
July;Trump;268512649;47511053
July;Kennedy;57633281;5623152
July;West;1257782;36998
July;Chase Oliver;216667;73536
June;Jill Stein;1237409;300650
June;Biden;312305346;63791037
June;Williamson;5203962;14217
June;Trump;221001595;21456920
June;Kennedy;52010129;5389346
June;West;1220784;63582
June;Chase Oliver;143131;87227
May;Jill Stein;936759;398749
May;Biden;248514310;37663158
May;Williamson;5189745;53616
May;Palmer;931687;78790
May;Trump;199544675;75393463
May;Kennedy;46620784;2591427
May;West;1157202;61073
May;Chase Oliver;55903;33533
April;Jill Stein;538492;145538
April;Biden;210851152;24152086
April;Williamson;5136128;42658
April;Palmer;852897;52497
April;Trump;124151213;9432589
April;Kennedy;44029356;10671289
April;West;1096129;70702
April;Chase Oliver;34215;2299
March;Jill Stein;327954;207012
March;Biden;186699066;43779068
March;Phillips;6931364;364628
March;Williamson;5093470;99306
March;Palmer;800400;74960
March;Trump;114718624;15341624
March;Haley;57217202;1035818
March;Kennedy;33358068;5396578
March;West;1025428;92069
March;Chase Oliver;31916;4101
February;Jill Stein;295177;109718
February;Biden;142919999;21326368
February;Phillips;7020232;453496
February;Williamson;4994164;138646
February;Palmer;725440;151590
February;Trump;99377000;10898012
February;Haley;56181384;8605993
February;Binkley;11435394;332252
February;Kennedy;27961490;3173716
February;West;933359;153832
February;Chase Oliver;27815;11055
January;Jill Stein;185459;65518
January;Biden;121593630;15718139
January;Phillips;6566736;1550497
January;Williamson;4855518;1001143
January;Palmer;573850;279225
January;Trump;88478988;8844631
January;Haley;47575391;11549207
January;Ramaswamy;41390957;4335212
January;DeSantis;39134023;1147602
January;Binkley;11103142;864711
January;Christie;7455795;124891
January;Hutchinson;1561012;50294
January;Kennedy;24787774;2672092
January;West;779527;140898
January;Chase Oliver;16760;4116
